,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
351,"frozenset({'TA', 'RA'})","frozenset({'TmaxA', 'BROIu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
354,"frozenset({'TA', 'COVIDuB'})","frozenset({'BROIu_B', 'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
365,"frozenset({'TA', 'BROIu_B', 'RA'})","frozenset({'COVIDhB', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
370,"frozenset({'TA', 'BROIu_B', 'COVIDhB'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
374,"frozenset({'TA', 'RA'})","frozenset({'BROIu_B', 'COVIDhB', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
379,"frozenset({'TA', 'COVIDhB'})","frozenset({'BROIu_B', 'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
389,"frozenset({'TA', 'RA', 'COVIDuB'})","frozenset({'COVIDhB', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
392,"frozenset({'TA', 'RA', 'COVIDhB'})","frozenset({'TmaxA', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
394,"frozenset({'TA', 'COVIDhB', 'COVIDuB'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
399,"frozenset({'TA', 'RA'})","frozenset({'TmaxA', 'COVIDhB', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
413,"frozenset({'TA', 'BROIu_B', 'RA', 'COVIDuB'})","frozenset({'COVIDhB', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
418,"frozenset({'TA', 'BROIu_B', 'RA', 'COVIDhB'})","frozenset({'TmaxA', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
420,"frozenset({'TA', 'BROIu_B', 'COVIDhB', 'COVIDuB'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
425,"frozenset({'TA', 'RA', 'COVIDuB'})","frozenset({'BROIu_B', 'COVIDhB', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
429,"frozenset({'TA', 'BROIu_B', 'RA'})","frozenset({'TmaxA', 'COVIDhB', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
430,"frozenset({'TA', 'RA', 'COVIDhB'})","frozenset({'TmaxA', 'BROIu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
435,"frozenset({'TA', 'COVIDhB', 'COVIDuB'})","frozenset({'BROIu_B', 'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
