,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
127,frozenset({'TA'}),"frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
547,"frozenset({'TA', 'COVIDuA'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
553,frozenset({'TA'}),"frozenset({'COVIDuA', 'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
561,"frozenset({'TA', 'COVIDhA'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
565,frozenset({'TA'}),"frozenset({'RA', 'TmaxA', 'COVIDhA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1564,"frozenset({'TA', 'COVIDuA', 'COVIDhA'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1572,"frozenset({'TA', 'COVIDhA'})","frozenset({'COVIDuA', 'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1574,"frozenset({'TA', 'COVIDuA'})","frozenset({'RA', 'TmaxA', 'COVIDhA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
1578,frozenset({'TA'}),"frozenset({'COVIDuA', 'RA', 'TmaxA', 'COVIDhA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
57,frozenset({'TminA'}),"frozenset({'INFu_B', 'RA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
72,"frozenset({'TminMB', 'COBuB'})",frozenset({'TMB'}),0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
401,"frozenset({'COVIDuA', 'TminA'})","frozenset({'INFu_B', 'RA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
403,frozenset({'TminA'}),"frozenset({'INFu_B', 'RA', 'COVIDuA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
425,"frozenset({'TminA', 'COVIDhA'})","frozenset({'INFu_B', 'RA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
427,frozenset({'TminA'}),"frozenset({'INFu_B', 'RA', 'COVIDhA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
476,"frozenset({'COVIDuA', 'TminMB', 'COBuB'})",frozenset({'TMB'}),0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
480,"frozenset({'TminMB', 'COBuB'})","frozenset({'COVIDuA', 'TMB'})",0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
488,"frozenset({'TminMB', 'COVIDhA', 'COBuB'})",frozenset({'TMB'}),0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
492,"frozenset({'TminMB', 'COBuB'})","frozenset({'COVIDhA', 'TMB'})",0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
1459,"frozenset({'COVIDuA', 'TminA', 'COVIDhA'})","frozenset({'INFu_B', 'RA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
1464,"frozenset({'TminA', 'COVIDhA'})","frozenset({'INFu_B', 'RA', 'COVIDuA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
1465,"frozenset({'COVIDuA', 'TminA'})","frozenset({'INFu_B', 'RA', 'COVIDhA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
1467,frozenset({'TminA'}),"frozenset({'INFu_B', 'RA', 'COVIDuA', 'COVIDhA'})",0.2,0.275,0.2,1.0,3.6363636363636362,0.14500000000000002,inf
1540,"frozenset({'COVIDuA', 'COVIDhA', 'TminMB', 'COBuB'})",frozenset({'TMB'}),0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
1543,"frozenset({'COVIDhA', 'TminMB', 'COBuB'})","frozenset({'COVIDuA', 'TMB'})",0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
1544,"frozenset({'COVIDuA', 'TminMB', 'COBuB'})","frozenset({'COVIDhA', 'TMB'})",0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
1550,"frozenset({'TminMB', 'COBuB'})","frozenset({'COVIDuA', 'COVIDhA', 'TMB'})",0.225,0.275,0.225,1.0,3.6363636363636362,0.163125,inf
270,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
708,"frozenset({'INFu_B', 'BROIu_B', 'OCRuB'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
719,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
936,"frozenset({'NNIAu_B', 'OCRuB', 'BROIu_B'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
947,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1004,"frozenset({'MP25MB', 'NNIAu_B', 'BROIu_B'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1164,"frozenset({'COVIDuA', 'BROIu_B', 'OCRuB'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1172,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'COVIDuA', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1180,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1188,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'IRASu_B', 'COVIDhA', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1582,"frozenset({'INFu_B', 'NNIAu_B', 'OCRuB', 'BROIu_B'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1596,"frozenset({'INFu_B', 'BROIu_B', 'OCRuB'})","frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1602,"frozenset({'NNIAu_B', 'OCRuB', 'BROIu_B'})","frozenset({'INFu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1617,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'NNIAu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1722,"frozenset({'INFu_B', 'NNIAu_B', 'MP25MB', 'BROIu_B'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
1736,"frozenset({'MP25MB', 'NNIAu_B', 'BROIu_B'})","frozenset({'INFu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2074,"frozenset({'INFu_B', 'BROIu_B', 'OCRuB', 'COVIDuA'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2087,"frozenset({'INFu_B', 'BROIu_B', 'OCRuB'})","frozenset({'COVIDuA', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2092,"frozenset({'COVIDuA', 'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2105,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDuA', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2114,"frozenset({'INFu_B', 'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2127,"frozenset({'INFu_B', 'BROIu_B', 'OCRuB'})","frozenset({'IRASu_B', 'COVIDhA', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2132,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'INFu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2145,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'COVIDhA', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2434,"frozenset({'COVIDuA', 'NNIAu_B', 'OCRuB', 'BROIu_B'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2447,"frozenset({'NNIAu_B', 'OCRuB', 'BROIu_B'})","frozenset({'COVIDuA', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2452,"frozenset({'COVIDuA', 'BROIu_B', 'OCRuB'})","frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2465,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'COVIDuA', 'NNIAu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2474,"frozenset({'NNIAu_B', 'OCRuB', 'COVIDhA', 'BROIu_B'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2487,"frozenset({'NNIAu_B', 'OCRuB', 'BROIu_B'})","frozenset({'IRASu_B', 'COVIDhA', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2492,"frozenset({'BROIu_B', 'OCRuB', 'COVIDhA'})","frozenset({'NNIAu_B', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2505,"frozenset({'BROIu_B', 'OCRuB'})","frozenset({'NNIAu_B', 'IRASu_B', 'COVIDhA', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2610,"frozenset({'MP25MB', 'NNIAu_B', 'COVIDuA', 'BROIu_B'})","frozenset({'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
2618,"frozenset({'MP25MB', 'NNIAu_B', 'BROIu_B'})","frozenset({'COVIDuA', 'IRASu_B', 'COBuB'})",0.2,0.3,0.2,1.0,3.3333333333333335,0.14,inf
