,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
125,frozenset({'TA'}),"frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
597,"frozenset({'TA', 'COVIDuB'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
601,frozenset({'TA'}),"frozenset({'COVIDuB', 'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
607,"frozenset({'TA', 'COVIDhB'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
613,frozenset({'TA'}),"frozenset({'COVIDhB', 'TmaxA', 'RA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
2354,"frozenset({'TA', 'COVIDhB', 'COVIDuB'})","frozenset({'RA', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
2362,"frozenset({'TA', 'COVIDuB'})","frozenset({'RA', 'COVIDhB', 'TmaxA'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
2364,"frozenset({'TA', 'COVIDhB'})","frozenset({'TmaxA', 'RA', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
2368,frozenset({'TA'}),"frozenset({'TmaxA', 'RA', 'COVIDhB', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
5297,"frozenset({'MP25MB', 'BROIu_B', 'OCRuB'})","frozenset({'CSRhB', 'IRASu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
5299,"frozenset({'MP25MB', 'OCRuB', 'IRASu_B'})","frozenset({'CSRhB', 'BROIu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
9014,"frozenset({'INFu_B', 'BROIu_B', 'OCRuB', 'MP25MB'})","frozenset({'CSRhB', 'IRASu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
9016,"frozenset({'INFu_B', 'OCRuB', 'IRASu_B', 'MP25MB'})","frozenset({'CSRhB', 'BROIu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
9060,"frozenset({'MP25MB', 'BROIu_B', 'OCRuB'})","frozenset({'INFu_B', 'IRASu_B', 'CSRhB', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
9062,"frozenset({'MP25MB', 'OCRuB', 'IRASu_B'})","frozenset({'INFu_B', 'BROIu_B', 'CSRhB', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
10000,"frozenset({'MP25MB', 'NNIAu_B', 'OCRuB', 'BROIu_B'})","frozenset({'CSRhB', 'IRASu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
10002,"frozenset({'MP25MB', 'NNIAu_B', 'OCRuB', 'IRASu_B'})","frozenset({'CSRhB', 'BROIu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
10036,"frozenset({'MP25MB', 'BROIu_B', 'OCRuB'})","frozenset({'CSRhB', 'NNIAu_B', 'COVIDuB', 'IRASu_B'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
10038,"frozenset({'MP25MB', 'OCRuB', 'IRASu_B'})","frozenset({'CSRhB', 'NNIAu_B', 'COVIDuB', 'BROIu_B'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
10589,"frozenset({'MP25MB', 'BROIu_B', 'OCRuB', 'COVIDhB'})","frozenset({'CSRhB', 'IRASu_B', 'COVIDuB'})",0.2,0.25,0.2,1.0,4.0,0.15000000000000002,inf
