,Unnamed: 0,Edad_y_Tipo_de_Atención,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,Covid-19_Virus_no_identificado_U07.2,Covid-19_Virus_identificado_U07.1,CAUSAS_SISTEMA_RESPIRATORIO,-_COVID-19_VIRUS_NO_IDENTIFICADO_U07.2,-_COVID-19_VIRUS_IDENTIFICADO_U07.1,COVID19_Sospechoso_u,COVID19_Confirmado_u,COVID19_Sospechoso_h,-_COVID_19_CONFIRMADO_(U07.1),Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
0,0,1,32,1,4,0,12,4,,,3,,,,,,,69.3,10.6,16.7,13.0,24.9,42.0,11.8
1,1,2,28,1,5,0,10,4,,,4,,,,,,,67.3,11.3,17.9,13.1,26.6,36.5,10.2
2,2,3,28,0,3,0,10,0,,,1,,,,,,,62.6,14.8,22.6,17.4,29.7,31.0,10.9
3,3,4,20,4,3,0,9,1,,,4,,,,,,,64.6,16.4,23.8,19.2,30.8,35.2,13.0
4,4,5,16,1,3,0,11,4,,,3,,,,,,,70.3,14.4,20.1,16.6,25.9,33.6,12.5
5,5,6,16,2,2,1,11,5,,,5,,,,,,,67.1,7.7,14.5,9.1,20.7,39.9,12.1
6,6,7,13,0,5,0,6,3,,,2,,,,,,,60.8,12.5,21.0,15.2,29.4,32.0,9.0
7,7,8,8,0,2,1,8,5,,,5,,,,,,,62.2,14.7,22.9,17.9,30.6,29.2,9.1
8,8,9,21,0,2,2,13,2,,,1,,,,,,,64.8,13.5,20.7,15.8,27.4,34.6,9.9
9,9,10,25,0,3,0,15,5,,,3,,,,,,,65.8,7.6,14.9,10.2,23.3,53.8,15.2
10,10,11,24,0,2,0,13,5,,,3,,,,,,,71.2,13.0,18.7,14.0,27.5,39.7,11.3
11,11,12,27,4,4,3,9,2,,,2,,,,,,,70.1,13.0,19.0,14.3,26.1,40.1,11.4
12,12,13,28,0,3,0,10,3,,,3,,,,,,,66.7,12.6,19.4,14.4,26.9,42.6,10.8
13,13,14,36,0,2,2,12,8,,,2,,,,,,,71.0,9.6,15.2,11.3,21.3,46.7,12.0
14,14,15,25,1,3,1,7,4,,,3,,,,,,,69.3,10.6,16.8,11.4,27.3,49.1,13.3
15,15,16,25,1,1,1,22,5,,,2,,,,,,,65.7,11.2,18.3,13.7,25.6,49.5,15.5
16,16,17,21,2,2,2,16,4,,,2,,,,,,,70.9,9.6,15.6,9.8,24.6,56.2,17.4
17,17,18,30,3,7,1,13,3,,,5,,,,,,,69.6,10.7,16.9,11.4,24.7,42.2,16.1
18,18,19,24,0,5,0,12,9,,,5,,,,,,,65.8,9.2,16.4,11.3,24.2,48.0,13.8
19,19,20,26,2,1,2,20,4,,,0,,,,,,,68.4,8.7,14.9,10.7,20.5,87.8,14.9
20,20,21,30,0,10,0,24,6,,,6,,,,,,,68.3,8.3,14.3,9.7,21.7,71.9,16.8
21,21,22,25,2,4,0,23,3,,,4,,,,,,,64.7,10.1,17.5,12.3,24.9,79.5,26.0
22,22,23,42,3,2,0,52,2,,,2,,,,,,,68.3,8.2,14.6,9.7,22.7,57.6,18.0
23,23,24,63,2,10,0,44,1,,,5,,,,,,,72.5,9.0,14.2,9.5,21.3,41.0,13.1
24,24,25,81,5,10,3,68,9,,,4,,,,,,,72.6,7.9,13.1,8.1,20.0,36.7,12.5
25,25,26,69,7,7,0,73,6,,,7,,,,,,,72.4,10.5,15.9,10.9,23.5,35.9,14.6
26,26,27,50,8,12,0,41,5,,,5,,,,,,,69.3,9.4,15.6,11.8,23.6,61.5,19.6
27,27,28,44,2,15,1,32,2,,,7,,,,,,,70.9,8.3,13.8,9.6,22.0,44.9,19.2
28,28,29,51,1,4,0,29,9,,,7,,,,,,,63.9,4.5,12.3,6.6,19.4,62.1,24.4
29,29,30,46,8,4,3,24,5,,,3,,,,,,,74.0,7.1,12.3,7.0,20.3,52.6,24.9
30,30,31,33,3,7,2,24,7,,,3,,,,,,,68.0,10.7,17.3,11.7,24.4,42.8,20.2
31,31,32,27,0,7,3,21,6,,,2,,,,,,,65.3,7.6,14.8,9.3,22.5,35.3,13.9
32,32,33,23,2,5,0,27,4,,,5,,,,,,,69.6,8.0,14.2,9.3,21.2,46.6,24.6
33,33,34,29,4,6,3,19,6,,,6,,,,,,,66.7,7.5,14.2,10.0,22.7,39.2,15.8
34,34,35,27,0,1,0,19,6,,,7,,,,,,,69.1,10.0,16.3,11.1,25.8,39.4,15.2
35,35,36,24,3,7,1,24,6,,,7,,,,,,,59.4,6.3,15.7,10.0,23.1,43.4,13.5
36,36,37,42,0,7,1,25,2,,,1,,,,,,,67.2,8.0,14.9,9.3,23.2,35.2,14.8
37,37,38,39,0,5,1,30,2,,,6,,,,,,,69.9,8.5,14.4,9.7,23.1,33.3,15.2
38,38,39,47,1,5,0,26,6,,,1,,,,,,,67.3,9.7,16.6,11.6,23.5,43.0,14.3
39,39,40,39,2,3,2,21,8,,,3,,,,,,,61.6,8.3,16.7,10.9,26.8,47.2,15.9
40,40,41,41,1,4,1,12,6,,,0,,,,,,,62.9,7.9,15.9,9.6,25.7,44.4,16.0
41,41,42,25,1,1,0,17,4,,,2,,,,,,,66.9,9.0,15.9,10.5,25.2,42.3,14.0
42,42,43,26,1,7,0,12,5,,,2,,,,,,,71.3,9.2,14.8,10.2,23.3,32.7,13.0
43,43,44,32,1,2,0,13,1,,,1,,,,,,,65.1,10.8,18.1,12.2,26.4,40.7,14.1
44,44,45,30,0,3,1,20,5,,,2,,,,,,,72.3,9.1,14.3,10.7,22.2,34.7,9.7
