,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
93,42,3,0,3,0,15,7,,,4,,,,,,
94,43,0,0,2,0,8,8,,,4,,,,,,
95,44,1,0,4,0,3,8,,,4,,,,,,
96,45,1,0,2,0,1,4,,,3,,,,,,
97,46,4,0,1,0,7,4,,,4,,,,,,
98,47,4,0,7,0,8,2,,,4,,,,,,
99,48,3,0,4,0,7,5,,,5,,,,,,
100,49,4,0,1,0,14,3,,,2,,,,,,
101,50,1,0,1,0,13,7,,,4,,,,,,
102,51,1,0,1,0,7,6,,,3,,,,,,
103,52,0,0,4,0,5,4,,,3,,,,,,
104,1,7,0,5,0,3,5,,,5,,,,,,
105,2,2,0,3,0,2,2,,,2,,,,,,
106,3,1,0,4,0,2,4,,,2,,,,,,
107,4,1,0,5,0,5,1,,,4,,,,,,
108,5,1,1,1,1,6,9,,,6,,,,,,
109,6,1,0,3,0,3,3,,,3,,,,,,
110,7,0,0,1,0,6,2,,,0,,,,,,
111,8,4,0,1,0,5,2,,,2,,,,,,
112,9,1,0,2,0,3,2,,,1,,,,,,
113,10,0,0,2,1,5,3,,,2,,,,,,
114,11,1,0,3,0,4,4,,,3,,,,,,
115,12,1,0,3,0,5,5,,,6,,,,,,
116,13,3,1,4,1,6,4,,,5,,,,,,
117,14,2,0,2,0,9,1,,,3,,,,,,
118,15,0,0,1,0,4,3,,,3,,,,,,
119,16,2,0,1,0,6,3,,,2,,,,,,
120,17,2,0,2,0,3,3,,,2,,,,,,
121,18,4,0,1,0,5,4,,,1,,,,,,
122,19,1,0,1,0,7,6,,,3,,,,,,
123,20,2,0,1,0,5,6,,,4,,,,,,
124,21,1,0,5,0,13,13,,,6,,,,,,
125,22,3,1,6,0,9,11,,,9,,,,,,
126,23,5,0,7,0,10,8,,,10,,,,,,
127,24,7,0,2,0,9,7,,,6,,,,,,
128,25,2,0,10,0,11,6,,,10,,,,,,
129,26,3,0,5,0,6,6,,,9,,,,,,
130,27,2,0,4,1,9,3,,,2,,,,,,
131,28,0,2,5,0,13,6,,,5,,,,,,
132,29,3,0,2,0,7,2,,,3,,,,,,
133,30,3,4,4,0,4,4,,,0,,,,,,
134,31,1,1,4,0,8,9,,,8,,,,,,
135,32,3,1,3,0,9,10,,,6,,,,,,
136,33,5,3,4,0,12,8,,,6,,,,,,
137,34,6,3,3,0,14,13,,,7,,,,,,
138,35,4,0,1,0,12,7,,,5,,,,,,
139,36,3,0,8,0,16,10,,,11,,,,,,
140,37,6,1,7,0,13,7,,,8,,,,,,
141,38,4,4,3,1,8,6,,,4,,,,,,
142,39,4,1,10,0,9,9,,,8,,,,,,
143,40,3,0,10,0,11,8,,,7,,,,,,
144,41,3,0,6,0,8,10,,,10,,,,,,
145,42,4,0,2,0,7,8,,,5,,,,,,
146,43,1,1,5,0,10,5,,,3,,,,,,
147,44,6,0,3,0,11,5,,,4,,,,,,
148,45,2,0,4,1,12,11,,,6,,,,,,
149,46,4,0,1,1,2,5,,,1,,,,,,
150,47,3,0,7,0,3,2,,,3,,,,,,
151,48,0,0,4,0,7,7,,,3,,,,,,
152,49,0,0,2,0,3,5,,,2,,,,,,
153,50,0,0,1,0,4,4,,,3,,,,,,
154,51,1,0,0,0,3,9,,,5,,,,,,
155,52,2,0,5,0,7,6,,,3,,,,,,
156,1,6,0,1,0,7,2,,,1,,,,,,
157,2,1,0,4,0,4,3,,,4,,,,,,
158,3,0,0,2,0,9,9,,,4,,,,,,
159,4,0,0,0,0,4,4,,,2,,,,,,
160,5,2,0,3,0,7,4,,,4,,,0.0,0.0,0.0,0.0
161,6,1,0,4,0,4,6,,,7,,,0.0,0.0,0.0,0.0
162,7,2,0,2,0,3,4,,,2,,,0.0,0.0,,0.0
163,8,2,0,1,0,1,4,,,3,,,0.0,0.0,,0.0
164,9,4,0,3,0,7,4,,,4,,,0.0,0.0,,0.0
165,10,1,0,3,1,4,5,,,1,,,0.0,0.0,0.0,0.0
166,11,3,0,3,0,5,3,,,3,,,0.0,0.0,0.0,0.0
167,12,5,0,5,0,9,1,,,2,,,0.0,0.0,1.0,0.0
168,13,3,0,3,0,2,1,,,3,,,3.0,0.0,3.0,0.0
169,14,1,0,0,0,2,3,,,0,,,0.0,0.0,0.0,0.0
170,15,0,0,5,1,5,1,,,5,,,4.0,1.0,1.0,1.0
171,16,1,0,0,0,3,2,,,0,,,0.0,0.0,0.0,0.0
172,17,3,1,2,0,3,4,,,5,,,3.0,0.0,0.0,0.0
173,18,0,1,1,0,2,0,,,1,,,6.0,0.0,0.0,0.0
174,19,1,0,3,0,3,3,,,1,,,1.0,1.0,0.0,1.0
175,20,2,0,2,0,1,4,,,4,,,4.0,0.0,0.0,0.0
176,21,0,0,1,0,1,1,,,2,,,3.0,0.0,1.0,0.0
177,22,1,0,1,0,2,3,,,3,,,0.0,0.0,0.0,0.0
178,23,1,0,0,0,1,6,,,4,,,1.0,1.0,1.0,0.0
179,24,1,0,4,0,3,2,,,5,,,0.0,0.0,0.0,1.0
180,25,1,1,3,0,3,4,,,5,,,3.0,1.0,0.0,0.0
181,26,1,0,4,0,4,3,,,7,,,4.0,2.0,2.0,1.0
182,27,0,0,3,0,2,2,,,5,,,3.0,1.0,1.0,1.0
183,28,1,0,2,0,0,4,,,1,,,1.0,3.0,1.0,2.0
184,29,1,0,0,0,2,3,,,2,,,4.0,0.0,1.0,0.0
185,30,0,0,2,0,6,4,,,4,,,9.0,4.0,3.0,3.0
186,31,1,0,9,0,7,5,,,7,,,4.0,9.0,0.0,3.0
187,32,2,0,2,0,2,3,,,4,,,6.0,12.0,1.0,9.0
188,33,0,3,4,0,5,3,,,5,,,10.0,7.0,3.0,6.0
189,34,0,1,6,0,1,5,,,8,,,3.0,4.0,1.0,3.0
190,35,3,1,2,0,1,2,,,2,,,9.0,7.0,2.0,2.0
191,36,3,0,2,0,1,1,,,2,,,5.0,7.0,3.0,4.0
192,37,0,2,1,0,5,2,,,3,,,5.0,3.0,2.0,0.0
193,38,1,2,3,0,2,0,,,2,,,2.0,1.0,0.0,1.0
194,39,1,0,2,1,3,3,,,8,,,3.0,1.0,0.0,0.0
195,40,0,0,2,0,1,3,,,3,,,1.0,3.0,0.0,3.0
196,41,2,0,4,0,3,5,,,7,,,2.0,2.0,0.0,2.0
197,42,1,0,9,0,1,4,,,10,,,1.0,4.0,0.0,1.0
198,43,2,0,2,1,4,8,,,1,,,2.0,3.0,1.0,2.0
199,44,2,0,2,0,4,0,,,1,,,1.0,3.0,0.0,2.0
200,45,0,0,2,0,7,3,,,3,,,2.0,0.0,0.0,0.0
201,46,2,0,4,0,7,4,,,6,,,1.0,2.0,0.0,1.0
202,47,1,0,3,1,2,3,,,5,,,0.0,0.0,0.0,0.0
203,48,3,0,3,0,6,2,,,4,,,0.0,0.0,0.0,0.0
204,49,1,0,2,0,5,2,,,1,,,2.0,0.0,1.0,0.0
205,50,1,0,1,0,4,5,,,3,,,4.0,0.0,0.0,0.0
206,51,4,0,1,0,3,1,,,3,,,2.0,0.0,1.0,0.0
207,52,3,0,2,0,3,2,,,2,,,0.0,0.0,0.0,0.0
208,53,3,0,5,1,5,2,,,6,,,2.0,0.0,0.0,0.0
209,1,0,0,1,0,7,5,,,8,,,3.0,3.0,1.0,2.0
210,2,4,0,5,0,1,1,,,3,,,2.0,5.0,2.0,4.0
211,3,3,0,3,0,2,1,,,3,,,0.0,4.0,0.0,1.0
212,4,2,0,4,0,2,3,,,4,,,4.0,11.0,0.0,8.0
213,5,0,0,3,0,1,4,,,2,,,2.0,8.0,0.0,4.0
214,6,2,0,3,0,4,1,,,0,,,1.0,4.0,0.0,3.0
215,7,1,1,3,0,2,1,,,3,,,4.0,6.0,1.0,5.0
216,8,3,0,1,0,1,3,,,4,,,1.0,8.0,1.0,6.0
217,9,1,0,3,0,3,3,,,3,,,1.0,7.0,0.0,5.0
218,10,2,0,2,0,2,5,,,2,,,2.0,4.0,0.0,3.0
219,11,2,0,3,0,5,3,,,6,,,3.0,2.0,1.0,1.0
220,12,2,0,0,0,0,2,,,0,,,0.0,4.0,1.0,1.0
221,13,1,0,2,0,3,4,,,5,,,4.0,7.0,2.0,3.0
222,14,2,0,0,0,1,2,,,1,,,1.0,7.0,0.0,6.0
223,15,0,0,2,0,3,4,,,1,,,2.0,2.0,0.0,1.0
224,16,1,0,1,0,3,0,,,0,,,4.0,9.0,0.0,6.0
225,17,0,0,3,0,2,3,,,4,,,3.0,6.0,0.0,5.0
226,18,0,0,2,0,1,3,,,2,,,4.0,7.0,0.0,4.0
227,19,0,0,0,0,6,1,,,0,,,6.0,8.0,1.0,7.0
228,20,0,0,2,0,8,3,,,2,,,4.0,6.0,0.0,3.0
229,21,1,0,4,0,4,0,,,1,,,4.0,8.0,0.0,7.0
230,22,2,0,2,0,3,0,,,4,,,3.0,8.0,0.0,6.0
231,23,3,0,1,0,3,5,,,4,,,3.0,9.0,0.0,5.0
232,24,1,0,2,0,2,4,,,4,,,7.0,11.0,0.0,8.0
