,Unnamed: 0.2,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,CAUSAS_SISTEMA_RESPIRATORIO,COVID19_Confirmado_u,COVID19_Confirmado_h,Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
0,0,119.0,7.0,11.0,17.0,24.0,16.0,10.0,0.0,0.0,69.3,10.6,16.7,13.0,24.9,42.0,11.8
1,1,98.0,4.0,12.0,11.0,18.0,16.0,7.0,0.0,0.0,67.3,11.3,17.9,13.1,26.6,36.5,10.2
2,2,86.0,4.0,6.0,15.0,23.0,8.0,4.0,0.0,0.0,62.6,14.8,22.6,17.4,29.7,31.0,10.9
3,3,96.0,4.0,4.0,13.0,15.0,2.0,6.0,0.0,0.0,64.6,16.4,23.8,19.2,30.8,35.2,13.0
4,4,104.0,3.0,7.0,21.0,19.0,13.0,4.0,0.0,0.0,70.3,14.4,20.1,16.6,25.9,33.6,12.5
5,5,87.0,5.0,5.0,9.0,21.0,11.0,9.0,0.0,0.0,67.1,7.7,14.5,9.1,20.7,39.9,12.1
6,6,71.0,1.0,7.0,11.0,16.0,14.0,5.0,0.0,0.0,60.8,12.5,21.0,15.2,29.4,32.0,9.0
7,7,59.0,3.0,7.0,12.0,15.0,11.0,11.0,0.0,0.0,62.2,14.7,22.9,17.9,30.6,29.2,9.1
8,8,67.0,0.0,4.0,13.0,20.0,7.0,4.0,0.0,0.0,64.8,13.5,20.7,15.8,27.4,34.6,9.9
9,9,98.0,0.0,11.0,19.0,21.0,9.0,5.0,0.0,0.0,65.8,7.6,14.9,10.2,23.3,53.8,15.2
10,10,115.0,0.0,5.0,54.0,22.0,17.0,5.0,0.0,0.0,71.2,13.0,18.7,14.0,27.5,39.7,11.3
11,11,115.0,4.0,7.0,59.0,25.0,12.0,8.0,0.0,0.0,70.1,13.0,19.0,14.3,26.1,40.1,11.4
12,12,123.0,1.0,10.0,49.0,17.0,20.0,8.0,0.0,0.0,66.7,12.6,19.4,14.4,26.9,42.6,10.8
13,13,135.0,12.0,4.0,64.0,19.0,17.0,7.0,0.0,0.0,71.0,9.6,15.2,11.3,21.3,46.7,12.0
14,14,102.0,4.0,8.0,67.0,15.0,14.0,8.0,0.0,0.0,69.3,10.6,16.8,11.4,27.3,49.1,13.3
15,15,117.0,2.0,5.0,64.0,28.0,15.0,9.0,0.0,0.0,65.7,11.2,18.3,13.7,25.6,49.5,15.5
16,16,115.0,4.0,4.0,56.0,28.0,10.0,5.0,0.0,0.0,70.9,9.6,15.6,9.8,24.6,56.2,17.4
17,17,125.0,15.0,10.0,71.0,21.0,6.0,9.0,0.0,0.0,69.6,10.7,16.9,11.4,24.7,42.2,16.1
18,18,130.0,2.0,11.0,100.0,19.0,17.0,7.0,0.0,0.0,65.8,9.2,16.4,11.3,24.2,48.0,13.8
19,19,126.0,10.0,6.0,74.0,32.0,16.0,5.0,0.0,0.0,68.4,8.7,14.9,10.7,20.5,87.8,14.9
20,20,93.0,3.0,18.0,52.0,35.0,14.0,19.0,0.0,0.0,68.3,8.3,14.3,9.7,21.7,71.9,16.8
