,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
109,6,21,0,0,2,0,0,,,0,,,,,,
110,7,15,0,0,2,1,0,,,0,,,,,,
111,8,12,1,0,6,2,0,,,0,,,,,,
112,9,25,1,0,8,0,1,,,0,,,,,,
113,10,24,0,0,2,1,0,,,1,,,,,,
114,11,38,0,0,9,2,1,,,1,,,,,,
115,12,42,1,0,20,2,1,,,1,,,,,,
116,13,42,1,1,20,2,2,,,2,,,,,,
117,14,45,2,1,17,0,1,,,0,,,,,,
118,15,37,2,0,19,3,1,,,1,,,,,,
119,16,31,3,0,13,1,3,,,0,,,,,,
120,17,44,3,0,14,1,1,,,0,,,,,,
121,18,36,0,0,16,2,0,,,0,,,,,,
122,19,41,2,0,19,4,2,,,1,,,,,,
123,20,37,0,0,18,3,0,,,1,,,,,,
124,21,48,2,0,19,1,0,,,0,,,,,,
125,22,49,9,0,13,1,0,,,1,,,,,,
126,23,42,2,0,28,2,0,,,1,,,,,,
127,24,45,1,0,18,0,2,,,1,,,,,,
128,25,67,22,4,24,1,2,,,3,,,,,,
129,26,56,18,2,20,1,0,,,1,,,,,,
130,27,40,16,0,12,2,0,,,0,,,,,,
131,28,57,17,1,18,1,1,,,1,,,,,,
132,29,25,4,0,7,0,2,,,0,,,,,,
133,30,26,3,0,8,1,0,,,0,,,,,,
134,31,50,5,0,17,1,2,,,2,,,,,,
135,32,102,25,0,32,1,2,,,0,,,,,,
136,33,193,48,1,55,0,3,,,0,,,,,,
137,34,195,94,0,38,3,1,,,2,,,,,,
138,35,144,68,3,59,2,1,,,1,,,,,,
139,36,87,5,2,43,2,0,,,0,,,,,,
140,37,49,6,2,27,4,0,,,0,,,,,,
141,38,31,2,0,19,0,0,,,0,,,,,,
142,39,34,2,0,20,1,0,,,0,,,,,,
143,40,35,4,1,14,0,2,,,1,,,,,,
144,41,30,3,0,26,2,0,,,0,,,,,,
145,42,36,3,0,17,3,2,,,1,,,,,,
146,43,27,2,1,15,3,2,,,3,,,,,,
147,44,15,1,0,6,2,3,,,0,,,,,,
148,45,9,1,0,5,0,1,,,0,,,,,,
149,46,6,0,0,1,0,0,,,0,,,,,,
150,47,11,0,0,1,2,1,,,0,,,,,,
151,48,11,1,0,3,0,0,,,0,,,,,,
152,49,11,0,0,3,0,3,,,0,,,,,,
153,50,11,0,2,2,1,0,,,1,,,,,,
154,51,17,0,0,4,0,0,,,0,,,,,,
155,52,19,0,1,4,1,1,,,1,,,,,,
156,1,14,2,0,5,1,2,,,1,,,,,,
157,2,12,0,1,1,1,0,,,0,,,,,,
158,3,12,0,0,2,2,0,,,0,,,,,,
159,4,15,0,1,0,1,0,,,0,,,,,,
160,5,9,0,0,3,0,1,,,0,,,0.0,0.0,0.0,0.0
161,6,12,0,0,6,0,0,,,0,,,0.0,0.0,0.0,0.0
162,7,15,0,0,5,1,0,,,0,,,0.0,0.0,,0.0
163,8,8,0,0,0,1,0,,,1,,,0.0,0.0,,0.0
164,9,15,0,0,3,0,1,,,0,,,0.0,0.0,,0.0
165,10,12,1,0,3,1,0,,,1,,,0.0,0.0,0.0,0.0
166,11,27,2,0,3,1,2,,,0,,,1.0,0.0,0.0,0.0
167,12,14,2,1,6,0,1,,,1,,,2.0,0.0,0.0,0.0
168,13,7,0,0,2,0,1,,,0,,,0.0,0.0,0.0,0.0
169,14,5,0,1,0,0,1,,,0,,,0.0,0.0,1.0,0.0
170,15,4,0,0,1,0,0,,,0,,,1.0,0.0,0.0,0.0
171,16,2,0,0,2,0,0,,,0,,,0.0,0.0,0.0,0.0
172,17,4,0,0,1,0,1,,,0,,,0.0,0.0,0.0,0.0
173,18,3,0,0,0,1,0,,,0,,,4.0,0.0,0.0,0.0
174,19,1,1,0,2,0,0,,,0,,,0.0,0.0,0.0,0.0
175,20,6,0,0,0,0,0,,,0,,,2.0,0.0,0.0,0.0
176,21,4,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0
177,22,4,0,0,1,0,0,,,0,,,2.0,0.0,0.0,0.0
178,23,5,0,0,1,0,0,,,0,,,3.0,0.0,0.0,0.0
179,24,5,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0
180,25,5,0,0,1,0,0,,,0,,,3.0,0.0,0.0,0.0
181,26,4,0,0,0,1,0,,,0,,,8.0,0.0,0.0,0.0
182,27,5,0,0,0,0,0,,,0,,,2.0,0.0,0.0,0.0
183,28,3,2,0,2,0,1,,,0,,,0.0,0.0,0.0,0.0
184,29,5,0,0,1,0,0,,,0,,,1.0,0.0,0.0,0.0
185,30,3,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0
186,31,3,0,0,0,0,0,,,0,,,1.0,0.0,0.0,0.0
187,32,9,0,0,1,0,0,,,0,,,1.0,0.0,0.0,0.0
188,33,2,0,0,0,1,0,,,1,,,1.0,0.0,1.0,0.0
189,34,8,0,0,0,1,1,,,0,,,2.0,0.0,0.0,0.0
190,35,4,0,0,0,0,0,,,0,,,1.0,1.0,0.0,0.0
191,36,2,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0
192,37,2,0,0,1,1,2,,,0,,,0.0,1.0,0.0,1.0
193,38,3,0,0,1,0,0,,,0,,,2.0,0.0,1.0,0.0
194,39,3,0,0,0,0,1,,,0,,,2.0,1.0,0.0,0.0
195,40,4,0,0,1,0,0,,,0,,,0.0,0.0,0.0,0.0
196,41,4,0,0,0,0,0,,,0,,,1.0,0.0,1.0,0.0
197,42,10,0,0,0,1,1,,,0,,,3.0,0.0,0.0,0.0
198,43,3,0,0,0,2,0,,,0,,,5.0,0.0,0.0,0.0
199,44,7,0,1,1,4,0,,,0,,,3.0,0.0,0.0,0.0
200,45,9,0,0,5,0,1,,,1,,,0.0,0.0,0.0,0.0
201,46,5,0,0,3,1,1,,,0,,,4.0,0.0,0.0,0.0
202,47,5,0,0,1,0,1,,,0,,,1.0,0.0,0.0,0.0
203,48,4,0,0,1,0,1,,,0,,,0.0,0.0,0.0,0.0
204,49,5,0,0,2,1,0,,,0,,,1.0,0.0,0.0,0.0
205,50,2,0,1,0,0,0,,,1,,,6.0,0.0,0.0,0.0
206,51,2,0,0,1,0,1,,,0,,,2.0,0.0,0.0,0.0
207,52,2,0,0,0,0,0,,,0,,,2.0,0.0,0.0,0.0
208,53,5,0,0,0,0,0,,,0,,,8.0,0.0,0.0,0.0
209,1,9,2,0,3,1,2,,,0,,,2.0,0.0,0.0,0.0
210,2,12,1,0,0,1,0,,,0,,,3.0,0.0,0.0,0.0
211,3,6,2,0,4,0,0,,,2,,,5.0,0.0,0.0,0.0
212,4,2,0,0,1,0,1,,,0,,,3.0,0.0,0.0,0.0
213,5,5,0,0,1,0,0,,,1,,,4.0,0.0,0.0,0.0
214,6,3,0,0,1,1,0,,,0,,,4.0,0.0,0.0,0.0
215,7,2,0,0,0,1,0,,,0,,,2.0,0.0,0.0,0.0
216,8,3,0,0,0,1,0,,,0,,,1.0,0.0,0.0,0.0
217,9,2,0,0,0,0,0,,,0,,,5.0,0.0,0.0,0.0
218,10,7,0,0,1,0,4,,,0,,,2.0,0.0,0.0,0.0
219,11,3,0,0,1,1,0,,,0,,,4.0,1.0,0.0,0.0
220,12,5,0,0,0,0,1,,,0,,,10.0,1.0,0.0,0.0
221,13,9,0,0,0,0,1,,,0,,,4.0,1.0,0.0,0.0
222,14,26,1,0,0,0,0,,,0,,,7.0,0.0,0.0,0.0
223,15,6,0,0,1,0,0,,,0,,,2.0,3.0,0.0,2.0
224,16,4,0,0,0,1,0,,,0,,,2.0,1.0,0.0,0.0
225,17,10,0,0,2,0,1,,,0,,,2.0,1.0,0.0,0.0
226,18,7,0,0,0,0,0,,,0,,,4.0,1.0,0.0,1.0
227,19,9,0,0,3,0,0,,,0,,,2.0,1.0,0.0,0.0
228,20,12,0,0,3,0,0,,,0,,,1.0,0.0,0.0,0.0
229,21,8,0,0,2,1,0,,,1,,,5.0,0.0,0.0,0.0
230,22,15,1,0,6,0,1,,,0,,,1.0,1.0,0.0,1.0
