,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
93,42,93,0,15,58,29,17,,,12,,,,,,
94,43,118,7,5,50,18,17,,,7,,,,,,
95,44,107,2,7,41,15,17,,,9,,,,,,
96,45,117,3,6,48,17,16,,,7,,,,,,
97,46,106,3,5,33,16,13,,,9,,,,,,
98,47,81,8,17,34,19,11,,,14,,,,,,
99,48,117,7,8,41,20,12,,,12,,,,,,
100,49,108,4,8,33,29,9,,,6,,,,,,
101,50,94,3,5,42,31,9,,,9,,,,,,
102,51,74,4,5,36,17,13,,,10,,,,,,
103,52,69,0,5,42,15,7,,,8,,,,,,
104,1,107,3,9,25,13,10,,,8,,,,,,
105,2,56,9,10,22,11,12,,,7,,,,,,
106,3,53,0,6,19,4,8,,,5,,,,,,
107,4,70,0,13,13,6,5,,,13,,,,,,
108,5,64,2,2,17,15,19,,,11,,,,,,
109,6,58,0,3,7,10,10,,,5,,,,,,
110,7,63,2,7,14,15,9,,,6,,,,,,
111,8,53,1,2,23,14,10,,,3,,,,,,
112,9,66,1,6,20,15,8,,,6,,,,,,
113,10,56,1,4,10,16,12,,,3,,,,,,
114,11,121,0,5,34,14,13,,,8,,,,,,
115,12,132,3,6,50,23,17,,,13,,,,,,
116,13,142,4,10,68,24,15,,,10,,,,,,
117,14,145,2,5,64,18,6,,,6,,,,,,
118,15,131,3,6,65,15,11,,,7,,,,,,
119,16,126,3,4,64,13,13,,,5,,,,,,
120,17,171,8,6,88,11,9,,,8,,,,,,
121,18,159,1,6,65,19,11,,,7,,,,,,
122,19,156,2,4,75,30,14,,,8,,,,,,
123,20,151,0,4,61,15,13,,,11,,,,,,
124,21,164,4,7,76,27,25,,,9,,,,,,
125,22,155,11,9,82,25,20,,,18,,,,,,
126,23,161,5,12,100,27,26,,,18,,,,,,
127,24,182,3,5,71,32,25,,,15,,,,,,
128,25,174,34,23,75,36,22,,,26,,,,,,
129,26,176,32,13,71,23,19,,,22,,,,,,
130,27,156,25,10,75,34,12,,,8,,,,,,
131,28,158,28,9,79,35,9,,,14,,,,,,
132,29,134,18,12,86,28,12,,,21,,,,,,
133,30,101,14,10,69,22,11,,,17,,,,,,
134,31,141,8,10,74,24,23,,,22,,,,,,
135,32,202,40,8,89,22,30,,,18,,,,,,
136,33,364,72,10,130,40,23,,,14,,,,,,
137,34,397,133,10,117,43,35,,,25,,,,,,
138,35,324,84,15,148,34,17,,,13,,,,,,
139,36,246,13,25,117,39,24,,,23,,,,,,
140,37,170,15,14,121,35,19,,,16,,,,,,
141,38,135,9,7,81,20,16,,,12,,,,,,
142,39,124,5,12,78,24,16,,,16,,,,,,
143,40,111,11,18,63,21,24,,,18,,,,,,
144,41,127,8,12,87,32,17,,,21,,,,,,
145,42,113,4,11,95,26,14,,,12,,,,,,
146,43,143,4,12,70,28,20,,,16,,,,,,
147,44,94,3,6,48,27,16,,,9,,,,,,
148,45,59,3,4,40,26,21,,,10,,,,,,
149,46,56,0,4,26,13,10,,,3,,,,,,
150,47,49,0,8,20,10,10,,,4,,,,,,
151,48,50,2,7,21,14,16,,,6,,,,,,
152,49,48,0,5,23,9,18,,,6,,,,,,
153,50,30,0,5,17,12,10,,,10,,,,,,
154,51,56,0,0,22,13,17,,,8,,,,,,
155,52,70,0,9,25,16,12,,,9,,,,,,
156,1,63,3,4,24,10,7,,,6,,,,,,
157,2,60,1,9,17,13,9,,,6,,,,,,
158,3,46,1,4,21,18,10,,,4,,,,,,
159,4,61,0,1,11,13,9,,,3,,,,,,
160,5,48,0,5,16,25,9,,,8,,,0.0,0.0,0.0,0.0
161,6,59,0,7,23,11,10,,,10,,,0.0,0.0,0.0,0.0
162,7,60,0,4,11,6,11,,,3,,,0.0,0.0,,0.0
163,8,58,1,7,12,8,7,,,5,,,0.0,0.0,,0.0
164,9,62,2,6,17,10,7,,,6,,,0.0,0.0,,0.0
165,10,57,5,3,9,11,9,,,5,,,0.0,0.0,0.0,0.0
166,11,87,3,5,15,18,13,,,9,,,1.0,0.0,1.0,0.0
167,12,161,12,9,17,22,6,,,4,,,26.0,0.0,3.0,0.0
168,13,121,0,4,6,23,6,,,6,,,36.0,0.0,6.0,0.0
169,14,49,0,3,11,7,22,,,1,,,37.0,1.0,5.0,1.0
170,15,49,15,8,3,12,4,,,8,,,41.0,1.0,5.0,1.0
171,16,23,7,0,2,14,16,,,0,,,19.0,0.0,0.0,0.0
172,17,41,11,3,2,14,8,,,7,,,20.0,0.0,2.0,0.0
173,18,39,13,2,1,14,3,,,3,,,69.0,3.0,0.0,1.0
174,19,47,25,5,3,11,4,,,5,,,46.0,2.0,1.0,1.0
175,20,52,17,6,2,9,9,,,11,,,46.0,2.0,0.0,2.0
176,21,47,16,6,0,5,3,,,6,,,34.0,1.0,3.0,1.0
177,22,65,13,3,2,8,6,,,4,,,35.0,4.0,1.0,1.0
178,23,72,18,6,2,5,9,,,10,,,36.0,5.0,3.0,3.0
179,24,67,15,9,0,8,7,,,8,,,30.0,13.0,1.0,7.0
180,25,70,24,7,2,9,9,,,9,,,75.0,15.0,0.0,7.0
181,26,76,20,6,1,18,5,,,11,,,121.0,11.0,3.0,5.0
182,27,64,17,7,0,8,2,,,9,,,56.0,11.0,3.0,7.0
183,28,81,13,6,3,8,6,,,4,,,62.0,11.0,3.0,4.0
184,29,62,16,2,2,11,8,,,6,,,62.0,10.0,2.0,3.0
185,30,78,24,4,1,19,9,,,8,,,190.0,15.0,7.0,6.0
186,31,61,11,12,0,13,11,,,13,,,145.0,33.0,2.0,16.0
187,32,80,17,5,2,13,5,,,8,,,124.0,46.0,7.0,22.0
188,33,58,26,7,0,16,4,,,8,,,90.0,39.0,4.0,18.0
189,34,57,8,10,0,4,12,,,14,,,66.0,20.0,5.0,11.0
190,35,28,13,7,2,10,5,,,6,,,52.0,11.0,2.0,4.0
191,36,25,10,3,1,8,5,,,3,,,40.0,12.0,4.0,6.0
192,37,28,23,5,1,11,8,,,5,,,36.0,9.0,2.0,4.0
193,38,22,4,4,1,4,2,,,5,,,38.0,14.0,1.0,8.0
194,39,49,6,4,1,8,9,,,10,,,55.0,4.0,0.0,2.0
195,40,40,10,3,1,3,8,,,5,,,84.0,4.0,2.0,3.0
196,41,43,2,7,2,8,10,,,10,,,46.0,4.0,4.0,4.0
197,42,61,6,13,1,7,6,,,15,,,32.0,8.0,0.0,3.0
198,43,62,7,6,1,7,12,,,6,,,40.0,7.0,1.0,3.0
199,44,68,4,3,2,12,5,,,2,,,24.0,5.0,0.0,4.0
200,45,53,0,4,9,13,6,,,4,,,20.0,0.0,1.0,0.0
201,46,70,0,5,4,17,9,,,8,,,28.0,2.0,0.0,1.0
202,47,68,0,5,4,10,9,,,8,,,5.0,1.0,0.0,0.0
203,48,56,1,5,4,19,7,,,7,,,7.0,0.0,0.0,0.0
204,49,70,0,4,6,11,8,,,3,,,27.0,0.0,1.0,0.0
205,50,40,0,3,1,15,11,,,7,,,23.0,1.0,0.0,0.0
206,51,32,0,3,3,10,2,,,5,,,32.0,0.0,1.0,0.0
207,52,41,0,7,3,8,10,,,5,,,23.0,5.0,0.0,2.0
208,53,39,2,7,3,7,4,,,8,,,75.0,9.0,0.0,6.0
209,1,51,2,7,6,15,12,,,13,,,56.0,15.0,2.0,6.0
210,2,72,5,8,1,11,5,,,10,,,60.0,16.0,2.0,11.0
211,3,60,5,8,6,6,4,,,8,,,56.0,13.0,0.0,6.0
212,4,55,0,11,2,7,9,,,11,,,52.0,29.0,0.0,18.0
213,5,37,0,7,3,5,8,,,4,,,40.0,23.0,1.0,11.0
214,6,34,1,9,1,9,2,,,6,,,34.0,15.0,0.0,11.0
215,7,44,1,7,1,11,4,,,3,,,45.0,17.0,4.0,10.0
216,8,41,0,7,4,4,7,,,10,,,34.0,16.0,1.0,11.0
217,9,47,0,9,0,6,7,,,5,,,44.0,23.0,0.0,11.0
218,10,46,0,7,1,12,16,,,5,,,42.0,21.0,1.0,15.0
219,11,33,0,13,1,13,12,,,11,,,58.0,10.0,3.0,5.0
220,12,69,0,8,1,5,11,,,9,,,44.0,39.0,3.0,12.0
221,13,47,0,5,3,6,15,,,8,,,107.0,46.0,3.0,16.0
222,14,88,5,0,4,4,10,,,3,,,104.0,44.0,7.0,28.0
223,15,47,0,12,2,10,10,,,4,,,105.0,48.0,1.0,27.0
224,16,42,0,4,2,5,10,,,5,,,114.0,52.0,1.0,30.0
225,17,42,0,11,3,8,10,,,9,,,88.0,36.0,0.0,25.0
226,18,47,1,8,2,6,11,,,6,,,104.0,35.0,0.0,20.0
227,19,51,0,2,7,9,6,,,2,,,122.0,35.0,3.0,25.0
228,20,52,1,8,5,14,9,,,7,,,111.0,38.0,1.0,17.0
229,21,58,0,15,3,9,5,,,7,,,112.0,36.0,1.0,23.0
230,22,80,1,7,9,11,9,,,8,,,81.0,42.0,0.0,24.0
231,23,89,0,7,6,10,12,,,6,,,66.0,38.0,1.0,22.0
232,24,64,4,4,3,8,12,,,8,,,96.0,31.0,0.0,21.0
233,25,77,0,4,6,20,10,,,9,,,94.0,35.0,0.0,16.0
234,26,72,0,8,12,8,11,,,3,,,92.0,22.0,0.0,10.0
235,27,66,0,7,5,13,8,,,7,,,77.0,25.0,0.0,19.0
236,28,43,0,10,5,18,7,,,6,,,59.0,32.0,1.0,18.0
237,29,56,0,6,6,13,12,,,10,,,60.0,17.0,0.0,10.0
238,30,66,0,6,5,14,7,,,5,,,52.0,8.0,0.0,4.0
239,31,47,0,7,5,14,12,,,5,,,37.0,9.0,0.0,8.0
240,32,39,0,0,6,7,3,,,0,,,62.0,5.0,1.0,3.0
241,33,82,0,12,5,11,9,,,8,,,41.0,4.0,0.0,2.0
242,34,58,0,2,4,7,10,,,2,,,39.0,1.0,0.0,0.0
243,35,53,2,10,9,9,14,,,12,,,40.0,3.0,0.0,3.0
244,36,43,3,5,5,9,10,,,3,,,34.0,2.0,1.0,1.0
245,37,34,0,4,6,9,6,,,4,,,36.0,5.0,0.0,5.0
246,38,62,2,5,15,13,8,,,5,,,30.0,2.0,0.0,0.0
247,39,39,0,4,7,13,15,,,10,,,49.0,4.0,0.0,3.0
248,40,52,0,4,12,11,12,,,5,,,42.0,2.0,1.0,0.0
249,41,44,0,1,19,9,9,,,10,,,40.0,2.0,0.0,1.0
250,42,54,0,8,17,15,15,,,13,,,24.0,3.0,0.0,2.0
251,43,61,3,3,18,16,5,,,8,,,38.0,10.0,1.0,2.0
252,44,62,3,8,17,17,10,,,14,,,43.0,4.0,0.0,4.0
253,45,80,6,5,8,10,8,,,6,,,32.0,5.0,0.0,3.0
254,46,74,3,5,11,9,6,,,3,,,29.0,10.0,0.0,5.0
255,47,68,2,5,15,14,16,,,8,,,26.0,6.0,0.0,5.0
256,48,65,4,4,18,16,11,,,4,,,25.0,9.0,0.0,4.0
257,49,78,0,4,13,10,12,,,6,,,18.0,7.0,1.0,2.0
258,50,57,1,5,13,15,9,,,2,,,19.0,3.0,0.0,2.0
259,51,58,2,4,12,13,11,,,10,,,20.0,6.0,0.0,4.0
260,52,75,2,2,8,10,13,,,9,,,38.0,6.0,1.0,6.0
