,Unnamed: 0,Edad_y_Tipo_de_Atención,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,Covid-19_Virus_no_identificado_U07.2,Covid-19_Virus_identificado_U07.1,CAUSAS_SISTEMA_RESPIRATORIO,-_COVID-19_VIRUS_NO_IDENTIFICADO_U07.2,-_COVID-19_VIRUS_IDENTIFICADO_U07.1,COVID19_Sospechoso_u,COVID19_Confirmado_u,COVID19_Sospechoso_h,-_COVID_19_CONFIRMADO_(U07.1),Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
0,0,1,119,7,11,17,24,16,,,10,,,,,,,69.3,10.6,16.7,13.0,24.9,42.0,11.8
1,1,2,98,4,12,11,18,16,,,7,,,,,,,67.3,11.3,17.9,13.1,26.6,36.5,10.2
2,2,3,86,4,6,15,23,8,,,4,,,,,,,62.6,14.8,22.6,17.4,29.7,31.0,10.9
3,3,4,96,4,4,13,15,2,,,6,,,,,,,64.6,16.4,23.8,19.2,30.8,35.2,13.0
4,4,5,104,3,7,21,19,13,,,4,,,,,,,70.3,14.4,20.1,16.6,25.9,33.6,12.5
5,5,6,87,5,5,9,21,11,,,9,,,,,,,67.1,7.7,14.5,9.1,20.7,39.9,12.1
6,6,7,71,1,7,11,16,14,,,5,,,,,,,60.8,12.5,21.0,15.2,29.4,32.0,9.0
7,7,8,59,3,7,12,15,11,,,11,,,,,,,62.2,14.7,22.9,17.9,30.6,29.2,9.1
8,8,9,67,0,4,13,20,7,,,4,,,,,,,64.8,13.5,20.7,15.8,27.4,34.6,9.9
9,9,10,98,0,11,19,21,9,,,5,,,,,,,65.8,7.6,14.9,10.2,23.3,53.8,15.2
10,10,11,115,0,5,54,22,17,,,5,,,,,,,71.2,13.0,18.7,14.0,27.5,39.7,11.3
11,11,12,115,4,7,59,25,12,,,8,,,,,,,70.1,13.0,19.0,14.3,26.1,40.1,11.4
12,12,13,123,1,10,49,17,20,,,8,,,,,,,66.7,12.6,19.4,14.4,26.9,42.6,10.8
13,13,14,135,12,4,64,19,17,,,7,,,,,,,71.0,9.6,15.2,11.3,21.3,46.7,12.0
14,14,15,102,4,8,67,15,14,,,8,,,,,,,69.3,10.6,16.8,11.4,27.3,49.1,13.3
15,15,16,117,2,5,64,28,15,,,9,,,,,,,65.7,11.2,18.3,13.7,25.6,49.5,15.5
16,16,17,115,4,4,56,28,10,,,5,,,,,,,70.9,9.6,15.6,9.8,24.6,56.2,17.4
17,17,18,125,15,10,71,21,6,,,9,,,,,,,69.6,10.7,16.9,11.4,24.7,42.2,16.1
18,18,19,130,2,11,100,19,17,,,7,,,,,,,65.8,9.2,16.4,11.3,24.2,48.0,13.8
19,19,20,126,10,6,74,32,16,,,5,,,,,,,68.4,8.7,14.9,10.7,20.5,87.8,14.9
20,20,21,93,3,18,52,35,14,,,19,,,,,,,68.3,8.3,14.3,9.7,21.7,71.9,16.8
21,21,22,85,6,14,51,41,15,,,15,,,,,,,64.7,10.1,17.5,12.3,24.9,79.5,26.0
22,22,23,168,12,9,84,81,15,,,13,,,,,,,68.3,8.2,14.6,9.7,22.7,57.6,18.0
23,23,24,223,31,24,114,64,9,,,17,,,,,,,72.5,9.0,14.2,9.5,21.3,41.0,13.1
24,24,25,287,40,21,150,96,19,,,19,,,,,,,72.6,7.9,13.1,8.1,20.0,36.7,12.5
25,25,26,296,64,21,126,102,21,,,20,,,,,,,72.4,10.5,15.9,10.9,23.5,35.9,14.6
26,26,27,196,40,42,132,68,23,,,28,,,,,,,69.3,9.4,15.6,11.8,23.6,61.5,19.6
27,27,28,179,29,33,115,63,7,,,23,,,,,,,70.9,8.3,13.8,9.6,22.0,44.9,19.2
