,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
0,1,32,1,4,0,12,4,,,3,,,,,,
1,2,28,1,5,0,10,4,,,4,,,,,,
2,3,28,0,3,0,10,0,,,1,,,,,,
3,4,20,4,3,0,9,1,,,4,,,,,,
4,5,16,1,3,0,11,4,,,3,,,,,,
5,6,16,2,2,1,11,5,,,5,,,,,,
6,7,13,0,5,0,6,3,,,2,,,,,,
7,8,8,0,2,1,8,5,,,5,,,,,,
8,9,21,0,2,2,13,2,,,1,,,,,,
9,10,25,0,3,0,15,5,,,3,,,,,,
10,11,24,0,2,0,13,5,,,3,,,,,,
11,12,27,4,4,3,9,2,,,2,,,,,,
12,13,28,0,3,0,10,3,,,3,,,,,,
13,14,36,0,2,2,12,8,,,2,,,,,,
14,15,25,1,3,1,7,4,,,3,,,,,,
15,16,25,1,1,1,22,5,,,2,,,,,,
16,17,21,2,2,2,16,4,,,2,,,,,,
17,18,30,3,7,1,13,3,,,5,,,,,,
18,19,24,0,5,0,12,9,,,5,,,,,,
19,20,26,2,1,2,20,4,,,0,,,,,,
20,21,30,0,10,0,24,6,,,6,,,,,,
21,22,25,2,4,0,23,3,,,4,,,,,,
22,23,42,3,2,0,52,2,,,2,,,,,,
23,24,63,2,10,0,44,1,,,5,,,,,,
24,25,81,5,10,3,68,9,,,4,,,,,,
25,26,69,7,7,0,73,6,,,7,,,,,,
26,27,50,8,12,0,41,5,,,5,,,,,,
27,28,44,2,15,1,32,2,,,7,,,,,,
28,29,51,1,4,0,29,9,,,7,,,,,,
29,30,46,8,4,3,24,5,,,3,,,,,,
30,31,33,3,7,2,24,7,,,3,,,,,,
31,32,27,0,7,3,21,6,,,2,,,,,,
32,33,23,2,5,0,27,4,,,5,,,,,,
33,34,29,4,6,3,19,6,,,6,,,,,,
34,35,27,0,1,0,19,6,,,7,,,,,,
35,36,24,3,7,1,24,6,,,7,,,,,,
36,37,42,0,7,1,25,2,,,1,,,,,,
37,38,39,0,5,1,30,2,,,6,,,,,,
38,39,47,1,5,0,26,6,,,1,,,,,,
39,40,39,2,3,2,21,8,,,3,,,,,,
40,41,41,1,4,1,12,6,,,0,,,,,,
41,42,25,1,1,0,17,4,,,2,,,,,,
42,43,26,1,7,0,12,5,,,2,,,,,,
43,44,32,1,2,0,13,1,,,1,,,,,,
44,45,30,0,3,1,20,5,,,2,,,,,,
45,46,26,1,3,0,17,3,,,4,,,,,,
46,47,19,1,5,0,11,3,,,3,,,,,,
47,48,20,0,2,0,9,6,,,5,,,,,,
48,49,20,1,1,0,11,4,,,3,,,,,,
