,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
0,1,41,3,2,10,0,1,,,3,,,,,,
1,2,23,1,1,7,0,4,,,0,,,,,,
2,3,27,2,0,4,0,2,,,0,,,,,,
3,4,34,0,0,9,0,0,,,0,,,,,,
4,5,37,0,1,6,0,1,,,0,,,,,,
5,6,36,1,0,3,0,3,,,0,,,,,,
6,7,21,1,0,4,1,1,,,0,,,,,,
7,8,19,0,1,6,0,0,,,1,,,,,,
8,9,11,0,0,2,0,0,,,0,,,,,,
9,10,43,0,1,10,0,1,,,0,,,,,,
10,11,36,0,1,25,1,2,,,1,,,,,,
11,12,43,0,0,29,0,3,,,0,,,,,,
12,13,49,1,0,18,0,5,,,1,,,,,,
13,14,43,6,0,37,0,1,,,0,,,,,,
14,15,42,1,0,39,0,1,,,0,,,,,,
15,16,43,0,0,38,0,2,,,0,,,,,,
16,17,41,1,0,34,2,0,,,1,,,,,,
17,18,33,8,0,41,1,1,,,3,,,,,,
18,19,46,1,0,49,0,3,,,0,,,,,,
19,20,48,3,0,39,3,2,,,0,,,,,,
20,21,39,0,0,25,0,1,,,1,,,,,,
21,22,26,0,1,25,0,0,,,1,,,,,,
22,23,52,3,2,38,0,0,,,1,,,,,,
23,24,65,10,5,58,0,1,,,5,,,,,,
24,25,71,15,2,69,0,0,,,3,,,,,,
25,26,113,28,4,73,0,0,,,0,,,,,,
26,27,67,9,6,76,0,1,,,3,,,,,,
27,28,64,13,5,61,0,0,,,7,,,,,,
28,29,53,6,3,82,2,1,,,4,,,,,,
29,30,36,2,3,49,0,1,,,2,,,,,,
30,31,22,1,12,36,0,0,,,4,,,,,,
31,32,30,3,1,43,0,0,,,6,,,,,,
32,33,36,2,12,40,0,2,,,2,,,,,,
33,34,37,3,6,41,0,0,,,1,,,,,,
34,35,50,0,4,34,1,1,,,0,,,,,,
35,36,62,0,5,33,1,1,,,3,,,,,,
36,37,76,1,3,33,1,0,,,4,,,,,,
37,38,71,5,5,43,0,0,,,5,,,,,,
38,39,45,7,3,31,0,2,,,4,,,,,,
39,40,51,6,2,38,1,1,,,1,,,,,,
40,41,67,5,4,31,1,1,,,3,,,,,,
41,42,64,0,1,36,1,1,,,1,,,,,,
42,43,40,1,4,30,0,0,,,0,,,,,,
43,44,55,1,2,20,0,0,,,1,,,,,,
