,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
21,frozenset({'RMA'}),"frozenset({'COVIDhB', 'INFu_B'})",0.3,0.45,0.275,0.9166666666666667,2.037037037037037,0.14,6.600000000000007
134,"frozenset({'COVIDhB', 'RMA'})","frozenset({'COVIDuB', 'INFu_B'})",0.3,0.45,0.275,0.9166666666666667,2.037037037037037,0.14,6.600000000000007
136,"frozenset({'RMA', 'COVIDuB'})","frozenset({'COVIDhB', 'INFu_B'})",0.3,0.45,0.275,0.9166666666666667,2.037037037037037,0.14,6.600000000000007
137,frozenset({'RMA'}),"frozenset({'COVIDhB', 'COVIDuB', 'INFu_B'})",0.3,0.45,0.275,0.9166666666666667,2.037037037037037,0.14,6.600000000000007
70,"frozenset({'TminM', 'MP10MB'})",frozenset({'TM'}),0.275,0.4,0.25,0.9090909090909091,2.2727272727272725,0.13999999999999999,6.599999999999998
37,"frozenset({'NNIAu_M', 'TM'})",frozenset({'TmaxMA'}),0.275,0.45,0.25,0.9090909090909091,2.02020202020202,0.12624999999999997,6.049999999999998
210,"frozenset({'COVIDhB', 'TminM'})","frozenset({'TM', 'COVIDuB'})",0.25,0.25,0.225,0.9,3.6,0.1625,7.500000000000002
211,"frozenset({'COVIDhB', 'TM'})","frozenset({'TminM', 'COVIDuB'})",0.25,0.25,0.225,0.9,3.6,0.1625,7.500000000000002
212,"frozenset({'TminM', 'COVIDuB'})","frozenset({'COVIDhB', 'TM'})",0.25,0.25,0.225,0.9,3.6,0.1625,7.500000000000002
213,"frozenset({'TM', 'COVIDuB'})","frozenset({'COVIDhB', 'TminM'})",0.25,0.25,0.225,0.9,3.6,0.1625,7.500000000000002
182,"frozenset({'TM', 'MP10MB'})","frozenset({'TminM', 'INFu_B'})",0.25,0.275,0.225,0.9,3.2727272727272725,0.15625,7.250000000000002
196,"frozenset({'NNIAu_M', 'TmaxMA'})","frozenset({'TminM', 'TM'})",0.25,0.35,0.225,0.9,2.5714285714285716,0.1375,6.500000000000002
5,"frozenset({'IRASu_MB', 'TM'})",frozenset({'TminM'}),0.25,0.375,0.225,0.9,2.4,0.13125,6.250000000000002
41,"frozenset({'NNIAu_M', 'TmaxMA'})",frozenset({'TminM'}),0.25,0.375,0.225,0.9,2.4,0.13125,6.250000000000002
47,"frozenset({'TM', 'COVIDuB'})",frozenset({'TminM'}),0.25,0.375,0.225,0.9,2.4,0.13125,6.250000000000002
55,"frozenset({'COVIDhB', 'TM'})",frozenset({'TminM'}),0.25,0.375,0.225,0.9,2.4,0.13125,6.250000000000002
76,"frozenset({'TmaxMA', 'MP10MB'})",frozenset({'TminM'}),0.25,0.375,0.225,0.9,2.4,0.13125,6.250000000000002
192,"frozenset({'NNIAu_M', 'TmaxMA', 'TM'})",frozenset({'TminM'}),0.25,0.375,0.225,0.9,2.4,0.13125,6.250000000000002
209,"frozenset({'COVIDhB', 'TM', 'COVIDuB'})",frozenset({'TminM'}),0.25,0.375,0.225,0.9,2.4,0.13125,6.250000000000002
4,"frozenset({'IRASu_MB', 'TminM'})",frozenset({'TM'}),0.25,0.4,0.225,0.9,2.25,0.125,6.000000000000001
46,"frozenset({'TminM', 'COVIDuB'})",frozenset({'TM'}),0.25,0.4,0.225,0.9,2.25,0.125,6.000000000000001
54,"frozenset({'COVIDhB', 'TminM'})",frozenset({'TM'}),0.25,0.4,0.225,0.9,2.25,0.125,6.000000000000001
208,"frozenset({'COVIDhB', 'TminM', 'COVIDuB'})",frozenset({'TM'}),0.25,0.4,0.225,0.9,2.25,0.125,6.000000000000001
86,"frozenset({'COVIDhB', 'TminM'})","frozenset({'IRASu_MB', 'COVIDuB'})",0.25,0.425,0.225,0.9,2.1176470588235294,0.11875000000000001,5.750000000000001
88,"frozenset({'TminM', 'COVIDuB'})","frozenset({'COVIDhB', 'IRASu_MB'})",0.25,0.425,0.225,0.9,2.1176470588235294,0.11875000000000001,5.750000000000001
